,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Budget,Earliest Release Date,MPAA,Running Time,Genres,"
                        IMDbPro
                    "
278,279,The Crossing,"$1,589,212","$90,896",5.7%,"$1,498,316",94.3%,2019,"CMC PicturesSee full company information

","$40,243",,"March 15, 2019
            (Domestic, China)",,1 hr 39 min,Drama,"See more details at IMDbPro

"
279,280,Beanpole,"$1,587,651","$196,258",12.4%,"$1,391,393",87.6%,2019,"Kino LorberSee full company information

","$10,008",,"June 20, 2019
            (APAC, EMEA)",,2 hr 10 min,"Drama
    
        War","See more details at IMDbPro

"
280,281,Teen Spirit,"$1,573,601","$441,366",28%,"$1,132,235",72%,2019,"Bleecker Street MediaSee full company information

","$43,620",,"April 5, 2019
            (Latvia)",PG-13,1 hr 33 min,"Drama
    
        Music","See more details at IMDbPro

"
281,282,The Kid,"$1,553,483","$1,508,593",97.1%,"$44,890",2.9%,2019,"LionsgateSee full company information

","$514,286",,"March 8, 2019
            (Domestic)",R,1 hr 40 min,"Biography
    
        Drama
    
        Western","See more details at IMDbPro

"
282,283,Tel Aviv on Fire,"$1,548,893","$506,145",32.7%,"$1,042,748",67.3%,2019,"Cohen Media GroupSee full company information

","$47,545",,"April 3, 2019
            (France)",,1 hr 40 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

"
283,284,The Chaperone,"$1,541,223","$600,654",39%,"$940,569",61%,2019,"PBS DistributionSee full company information

","$12,150",,"March 28, 2019
            (Domestic)",Not Rated,1 hr 43 min,Drama,"See more details at IMDbPro

"
284,285,De De Pyaar De,"$1,473,116","$425,934",28.9%,"$1,047,182",71.1%,2019,"Yash Raj FilmsSee full company information

","$425,934",,"May 16, 2019
            (APAC, EMEA)",Not Rated,2 hr 15 min,"Comedy
    
        Romance","See more details at IMDbPro

"
285,286,It 2019 Re-release,"$1,414,696","$1,347,126",95.2%,"$67,570",4.8%,2019,"Warner Bros.See full company information

","$123,403,419","$35,000,000","September 6, 2017
            (APAC)",R,2 hr 15 min,Horror,"See more details at IMDbPro

"
286,287,El Chicano,"$1,404,646","$1,400,603",99.7%,"$4,043",0.3%,2019,Briarcliff Entertainment,"$700,261",,"May 3, 2019
            (Domestic)",R,1 hr 48 min,Drama,"See more details at IMDbPro

"
287,288,For Sama,"$1,396,596","$43,796",3.1%,"$1,352,800",96.9%,2019,"PBS DistributionSee full company information

","$9,350",,"July 26, 2019
            (Domestic)",,1 hr 40 min,"Documentary
    
        War","See more details at IMDbPro

"
288,289,National Lampoon's Christmas Vacation 2019 Re-release,"$1,385,620","$1,385,620",100%,-,-,2019,"Warner Bros.See full company information

","$11,750,203",,"December 1, 1989
            (Domestic)",,1 hr 37 min,Comedy,"See more details at IMDbPro

"
289,290,Bolshoi Ballet: The Nutcracker,"$1,348,248","$252,935",18.8%,"$1,095,313",81.2%,2019,"Fathom EventsSee full company information

","$252,935",,"December 13, 2019
            (United Kingdom)",,2 hr 30 min,"Family
    
        Fantasy
    
        Musical","See more details at IMDbPro

"
290,291,Spirited Away 2019 Re-release,"$1,322,927","$1,322,927",100%,-,-,2019,Walt Disney Studios,"$449,839",,"July 27, 2001
            (Japan)",PG,2 hr 5 min,"Adventure
    
        Animation
    
        Family
    
        Fantasy
    
        Mystery","See more details at IMDbPro

"
291,292,Roger Waters - Us + Them,"$1,294,480","$611,644",47.3%,"$682,836",52.7%,2019,"Trafalgar ReleasingSee full company information

","$251,842",,"September 26, 2019
            (LATAM)",,2 hr 15 min,"Documentary
    
        Music","See more details at IMDbPro

"
292,293,No Safe Spaces,"$1,291,514","$1,291,514",100%,-,-,2019,"Atlas Distribution CompanySee full company information

","$45,236",,"October 25, 2019
            (Domestic)",PG-13,1 hr 40 min,Documentary,"See more details at IMDbPro

"
293,294,Fagara,"$1,265,949","$43,417",3.4%,"$1,222,532",96.6%,2019,"China Lion Film DistributionSee full company information

","$25,206",,"September 6, 2019
            (China)",,1 hr 58 min,"Comedy
    
        Drama","See more details at IMDbPro

"
294,295,Batla House,"$1,264,337","$493,180",39%,"$771,157",61%,2019,"Viva PicturesSee full company information

","$212,645",,"August 15, 2019
            (4 markets)",,2 hr 26 min,"Action
    
        Drama
    
        Thriller","See more details at IMDbPro

"
295,296,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552","$1,226,552",100%,-,-,2019,"Fathom EventsSee full company information

","$1,226,552",,"October 27, 2019
            (Domestic)",,3 hr 30 min,Music,"See more details at IMDbPro

"
296,297,Kingdom Men Rising,"$1,188,936","$1,188,936",100%,-,-,2019,"Fathom EventsSee full company information

",,,"April 29, 2019
            (Domestic)",Not Rated,1 hr 33 min,Documentary,"See more details at IMDbPro

"
297,298,Los Domirriqueños 2,"$1,187,280","$1,187,280",100%,-,-,2019,"Spanglish MoviesSee full company information

","$341,847",,"March 14, 2019
            (Domestic)",,1 hr 47 min,"Comedy
    
        Sport","See more details at IMDbPro

"
298,299,National Theater Live: Cyrano de Bergerac,"$1,173,512","$86,300",7.4%,"$1,087,212",92.6%,2019,"Fathom EventsSee full company information

",,,"January 23, 2019
            (Domestic)",,2 hr 40 min,"Drama
    
        Romance","See more details at IMDbPro

"
299,300,Honeyland,"$1,172,068","$815,082",69.5%,"$356,986",30.5%,2019,"NeonSee full company information

","$31,381",,"July 26, 2019
            (Domestic)",,1 hr 29 min,"Documentary
    
        Drama","See more details at IMDbPro

"
300,301,The Goonies 2019 Re-release,"$1,148,562","$864,378",75.3%,"$284,184",24.7%,2019,"Warner Bros.See full company information

","$9,105,913",,"June 7, 1985
            (Domestic)",,1 hr 54 min,"Adventure
    
        Comedy
    
        Family","See more details at IMDbPro

"
301,302,The Song of Names,"$1,138,700","$1,077,584",94.6%,"$61,116",5.4%,2019,"Sony Pictures ClassicsSee full company information

","$39,452",,"November 7, 2019
            (New Zealand)",PG-13,1 hr 53 min,"Drama
    
        Music
    
        Mystery
    
        War","See more details at IMDbPro

"
302,303,My Neighbor Totoro 2019 Re-release,"$1,105,564","$1,105,564",100%,-,-,2019,,,,"August 28, 2002
            (France)",,1 hr 26 min,"Animation
    
        Family
    
        Fantasy","See more details at IMDbPro

"
303,304,El Coyote,"$1,101,470","$1,101,470",100%,-,-,2019,Cactus Blue Entertainment,,,"October 4, 2019
            (Domestic)",R,1 hr 33 min,"Action
    
        Crime","See more details at IMDbPro

"
304,305,The Sky Is Pink,"$1,088,641","$652,592",59.9%,"$436,049",40.1%,2019,PackYourBag Films,"$334,713",,"October 10, 2019
            (APAC, EMEA)",,2 hr 23 min,"Drama
    
        Family
    
        Romance","See more details at IMDbPro

"
305,306,Jesus Is King,"$1,082,629","$973,000",89.9%,"$109,629",10.1%,2019,"IMAXSee full company information

","$830,000",,"October 25, 2019
            (3 markets)",,31 min,"Documentary
    
        Music
    
        Short","See more details at IMDbPro

"
306,307,Mystify: Michael Hutchence,"$1,082,456","$289,573",26.8%,"$792,883",73.2%,2019,"Fathom EventsSee full company information

",,,"July 4, 2019
            (Australia)",,1 hr 42 min,"Biography
    
        Documentary
    
        Music","See more details at IMDbPro

"
307,308,Merci pour tout,"$1,073,969","$1,073,969",100%,-,-,2019,eOne Entertainment,"$231,908",,"December 25, 2019
            (Domestic)",,1 hr 39 min,Comedy,"See more details at IMDbPro

"
308,309,Bennett's War,"$1,056,416","$1,056,416",100%,-,-,2019,Forrest Films,"$430,898",,"August 30, 2019
            (Domestic)",PG-13,1 hr 34 min,Sport,"See more details at IMDbPro

"
309,310,Princess Mononoke 2019 Re-release,"$1,046,446","$1,046,446",100%,-,-,2019,"MiramaxSee full company information

","$144,446",,"October 29, 1999
            (Domestic)",PG-13,2 hr 14 min,"Adventure
    
        Animation
    
        Fantasy","See more details at IMDbPro

"
310,311,Noah,"$1,035,603","$1,035,603",100%,-,-,2019,"Fathom EventsSee full company information

","$392,734",,"April 9, 2019
            (Domestic)",,2 hr 10 min,,"See more details at IMDbPro

"
311,312,Cold Blood,"$1,009,888","$5,083",0.5%,"$1,004,805",99.5%,2019,"Screen Media FilmsSee full company information

","$3,450",,"May 15, 2019
            (France)",,1 hr 31 min,"Action
    
        Thriller","See more details at IMDbPro

"
312,313,Kiki's Delivery Service 2019 Re-release,"$1,004,057","$1,004,057",100%,-,-,2019,,,,"March 31, 2004
            (France)",,1 hr 43 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Fantasy","See more details at IMDbPro

"
313,314,Photograph,"$996,171","$344,534",34.6%,"$651,637",65.4%,2019,"Amazon StudiosSee full company information

","$35,796",,"March 14, 2019
            (United Arab Emirates)",PG-13,1 hr 50 min,"Drama
    
        Romance","See more details at IMDbPro

"
314,315,American Masters: Miles Davis: Birth of the Cool,"$984,499","$614,201",62.4%,"$370,298",37.6%,2019,"AbramoramaSee full company information

","$18,258",,"August 22, 2019
            (Australia)",,1 hr 54 min,"Biography
    
        Documentary","See more details at IMDbPro

"
315,316,The Irishman,"$968,853",-,-,"$968,853",100%,2019,"NetflixSee full company information

",,,"November 11, 2019
            (Italy)",R,3 hr 29 min,"Biography
    
        Crime
    
        Drama","See more details at IMDbPro

"
316,317,Rush: Cinema Strangiato 2019,"$960,073","$960,073",100%,-,-,2019,"Trafalgar ReleasingSee full company information

","$2,580",,"August 21, 2019
            (Domestic)",,2 hr,Music,"See more details at IMDbPro

"
317,318,The Fighting Preacher,"$954,641","$954,641",100%,-,-,2019,"Purdie DistributionSee full company information

","$60,223",,"July 24, 2019
            (Domestic)",PG,1 hr 40 min,"Comedy
    
        Drama
    
        History","See more details at IMDbPro

"
318,319,Toni Morrison: The Pieces I Am,"$927,495","$903,018",97.4%,"$24,477",2.6%,2019,"Magnolia PicturesSee full company information

","$48,050",,"June 21, 2019
            (Domestic)",PG-13,2 hr,Documentary,"See more details at IMDbPro

"
319,320,The Game Changers,"$897,992","$739,711",82.4%,"$158,281",17.6%,2019,"Fathom EventsSee full company information

",,,"September 16, 2019
            (Domestic, APAC)",,1 hr 26 min,Documentary,"See more details at IMDbPro

"
320,321,The Nightingale,"$885,916","$400,209",45.2%,"$485,707",54.8%,2019,"IFC FilmsSee full company information

","$35,882",,"August 2, 2019
            (Domestic)",R,2 hr 16 min,"Adventure
    
        Drama
    
        Thriller","See more details at IMDbPro

"
321,322,The Hummingbird Project,"$876,980","$371,784",42.4%,"$505,196",57.6%,2019,"The OrchardSee full company information

","$34,202",,"March 15, 2019
            (EMEA, Domestic)",R,1 hr 51 min,"Drama
    
        Thriller","See more details at IMDbPro

"
322,323,Between Me and My Mind,"$875,191","$875,191",100%,-,-,2019,"Trafalgar ReleasingSee full company information

","$14,614",,"July 17, 2019
            (Domestic)",,1 hr 40 min,Documentary,"See more details at IMDbPro

"
323,324,Howl's Moving Castle 2019 Re-release,"$865,647","$865,647",100%,-,-,2019,Walt Disney Studios,"$427,987",,"November 20, 2004
            (Japan)",PG,1 hr 59 min,"Adventure
    
        Animation
    
        Family
    
        Fantasy","See more details at IMDbPro

"
324,325,Steel Magnolias 2019 Re-release,"$855,421","$855,421",100%,-,-,2019,"TriStar PicturesSee full company information

","$5,425,440",,"November 17, 1989
            (Domestic)",,1 hr 57 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

"
325,326,Que Leones,"$822,828","$822,828",100%,-,-,2019,"Spanglish MoviesSee full company information

",,,"November 28, 2019
            (Dominican Republic)",,1 hr 36 min,"Comedy
    
        Romance","See more details at IMDbPro

"
326,327,Joni 75: A Birthday Celebration,"$808,831","$752,205",93%,"$56,626",7%,2019,"Trafalgar ReleasingSee full company information

","$35,111",,"February 7, 2019
            (Domestic)",,2 hr 8 min,Music,"See more details at IMDbPro

"
327,328,The Whistlers,"$799,694","$55,608",7%,"$744,086",93%,2019,"Magnolia PicturesSee full company information

","$20,458",,"September 12, 2019
            (New Zealand)",,1 hr 37 min,"Comedy
    
        Crime","See more details at IMDbPro

"
328,329,Vita & Virginia,"$793,439","$42,741",5.4%,"$750,698",94.6%,2019,"IFC FilmsSee full company information

","$3,408",,"June 6, 2019
            (EMEA, APAC)",,1 hr 50 min,"Biography
    
        Drama
    
        Romance","See more details at IMDbPro

"
329,330,The Shining 2019 Re-release,"$791,669","$551,257",69.6%,"$240,412",30.4%,2019,"Warner Bros.See full company information

","$622,337","$19,000,000","May 23, 1980
            (Domestic)",,2 hr 26 min,"Drama
    
        Horror","See more details at IMDbPro

"
330,331,Chonda Pierce: Unashamed,"$787,979","$787,979",100%,-,-,2019,"Fathom EventsSee full company information

",,,"May 7, 2019
            (Domestic)",,1 hr 30 min,Documentary,"See more details at IMDbPro

"
331,332,Elf 2019 Re-release,"$786,249","$786,249",100%,-,-,2019,"New Line CinemaSee full company information

","$32,100,000","$33,000,000","November 7, 2003
            (Domestic)",PG,1 hr 37 min,"Comedy
    
        Family
    
        Fantasy
    
        Romance","See more details at IMDbPro

"
332,333,The Church,"$772,000","$772,000",100%,-,-,2019,"Indican PicturesSee full company information

","$272,412",,"May 24, 2019
            (Domestic)",PG-13,1 hr 21 min,"Horror
    
        Thriller","See more details at IMDbPro

"
333,334,DanTDM Presents The Contest,"$765,363","$307,484",40.2%,"$457,879",59.8%,2019,"Fathom EventsSee full company information

","$307,484",,"October 31, 2019
            (Australia)",,,,"See more details at IMDbPro

"
334,335,Patterns of Evidence: Moses Controversy,"$765,361","$765,361",100%,-,-,2019,"Fathom EventsSee full company information

","$217,327",,"March 14, 2019
            (Domestic)",,2 hr 20 min,Documentary,"See more details at IMDbPro

"
335,336,I Love Lucy: A Colorized Celebration,"$754,323","$754,323",100%,-,-,2019,"Fathom EventsSee full company information

",,,"August 6, 2019
            (Domestic)",,2 hr 35 min,Comedy,"See more details at IMDbPro

"
336,337,Everybody's Everything,"$748,539","$547,207",73.1%,"$201,332",26.9%,2019,"Gunpowder & SkySee full company information

","$60,582",,"November 12, 2019
            (Domestic)",,1 hr 56 min,"Documentary
    
        Music","See more details at IMDbPro

"
337,338,Ordinary Love,"$735,716","$323,688",44%,"$412,028",56%,2019,"Bleecker Street MediaSee full company information

","$23,564",,"December 6, 2019
            (United Kingdom)",R,1 hr 32 min,"Drama
    
        Romance","See more details at IMDbPro

"
338,339,David Crosby: Remember My Name,"$732,793","$732,793",100%,-,-,2019,"Sony Pictures ClassicsSee full company information

","$43,483",,"July 19, 2019
            (Domestic)",R,1 hr 35 min,"Documentary
    
        Music","See more details at IMDbPro

"
339,340,Where's My Roy Cohn?,"$722,603","$705,274",97.6%,"$17,329",2.4%,2019,"Sony Pictures ClassicsSee full company information

","$41,202",,"September 20, 2019
            (Domestic)",PG-13,1 hr 37 min,Documentary,"See more details at IMDbPro

"
340,341,Frankie,"$695,680","$171,781",24.7%,"$523,899",75.3%,2019,"Sony Pictures ClassicsSee full company information

","$19,435",,"August 28, 2019
            (France)",PG-13,1 hr 40 min,"Drama
    
        Romance","See more details at IMDbPro

"
341,342,The Least of These: The Graham Staines Story,"$695,164","$607,015",87.3%,"$88,149",12.7%,2019,"Fathom EventsSee full company information

","$282,472",,"January 31, 2019
            (Domestic)",PG-13,1 hr 52 min,Drama,"See more details at IMDbPro

"
