,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Earliest Release Date,MPAA,Running Time,Genres,"
97,98,Peppermint,"$53,918,723","$35,418,723",65.7%,"$18,500,000",34.3%,2018,"STX EntertainmentSee full company information

","$13,423,255","September 6, 2018
            (EMEA)",R,1 hr 41 min,"Action
    
        Drama
    
        Thriller","See more details at IMDbPro

","$25,000,000"
98,99,Teen Titans GO! to the Movies,"$52,090,236","$29,790,236",57.2%,"$22,300,000",42.8%,2018,"Warner Bros.See full company information

","$10,411,189","July 26, 2018
            (LATAM, EMEA)",PG,1 hr 24 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical
    
        Sci-Fi","See more details at IMDbPro

","$10,000,000"
99,100,Slender Man,"$51,738,549","$30,569,484",59.1%,"$21,169,065",40.9%,2018,"Screen GemsSee full company information

","$11,371,866","August 9, 2018
            (Aruba)",PG-13,1 hr 33 min,"Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

","$10,000,000"
100,101,Breaking In,"$51,411,620","$46,840,590",91.1%,"$4,571,030",8.9%,2018,"Universal PicturesSee full company information

","$17,630,285","May 9, 2018
            (Egypt)",PG-13,1 hr 28 min,"Action
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

","$6,000,000"
101,102,Once Upon a Deadpool 2018 Re-release,"$51,247,568","$6,100,309",11.9%,"$45,147,259",88.1%,2018,"Twentieth Century FoxSee full company information

","$125,507,153","May 16, 2018
            (18 markets)",R,1 hr 59 min,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi","See more details at IMDbPro

","$110,000,000"
102,103,Death Wish,"$49,562,710","$34,017,028",68.6%,"$15,545,682",31.4%,2018,"Metro-Goldwyn-Mayer (MGM)See full company information

","$13,010,267","March 1, 2018
            (United Arab Emirates)",R,1 hr 47 min,"Action
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

","$30,000,000"
103,104,Andhadhun,"$49,391,206","$1,193,046",2.4%,"$48,198,160",97.6%,2018,"Eros InternationalSee full company information

","$278,677","October 4, 2018
            (EMEA, APAC)",,2 hr 19 min,"Crime
    
        Thriller","See more details at IMDbPro

",
104,105,Golden Job,"$47,287,851","$285,795",0.6%,"$47,002,056",99.4%,2018,"Well Go USA EntertainmentSee full company information

","$121,391","September 20, 2018
            (APAC)",,1 hr 40 min,"Action
    
        Adventure","See more details at IMDbPro

",
105,106,Mary Queen of Scots,"$46,710,283","$16,468,499",35.3%,"$30,241,784",64.7%,2018,"Focus FeaturesSee full company information

","$194,777","December 7, 2018
            (Domestic)",R,2 hr 4 min,"Biography
    
        Drama
    
        History","See more details at IMDbPro

",
106,107,Uncle Drew,"$46,664,414","$42,469,946",91%,"$4,194,468",9%,2018,"LionsgateSee full company information

","$15,242,781","June 27, 2018
            (Philippines)",PG-13,1 hr 43 min,"Comedy
    
        Sport","See more details at IMDbPro

",
107,108,Tyler Perry's Acrimony,"$46,403,669","$43,549,096",93.8%,"$2,854,573",6.2%,2018,"LionsgateSee full company information

","$17,170,707","March 29, 2018
            (EMEA, LATAM)",R,2 hr,"Drama
    
        Romance
    
        Thriller","See more details at IMDbPro

",
108,109,Asterix: The Secret of the Magic Potion,"$46,221,204","$1,271,953",2.8%,"$44,949,251",97.2%,2018,"Entertainment OneSee full company information

","$193,040","January 18, 2018
            (Poland)",,1 hr 27 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

",
109,110,Winchester,"$44,019,588","$25,091,816",57%,"$18,927,772",43%,2018,"LionsgateSee full company information

","$9,307,626","February 2, 2018
            (Domestic, EMEA)",PG-13,1 hr 39 min,"Biography
    
        Drama
    
        Fantasy
    
        Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
110,111,Annihilation,"$43,070,915","$32,732,301",76%,"$10,338,614",24%,2018,"Paramount PicturesSee full company information

","$11,071,584","February 23, 2018
            (Domestic)",R,1 hr 55 min,"Adventure
    
        Drama
    
        Horror
    
        Mystery
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

","$40,000,000"
111,112,The Possession of Hannah Grace,"$43,016,528","$14,837,422",34.5%,"$28,179,106",65.5%,2018,"Screen GemsSee full company information

","$6,401,744","November 28, 2018
            (LATAM)",R,1 hr 26 min,"Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

","$7,700,000"
112,113,Long Day's Journey Into Night,"$42,140,994","$521,365",1.2%,"$41,619,629",98.8%,2018,"Kino LorberSee full company information

","$26,746","December 31, 2018
            (China)",Not Rated,2 hr 18 min,"Drama
    
        Mystery","See more details at IMDbPro

",
113,114,Overlord,"$41,657,844","$21,704,844",52.1%,"$19,953,000",47.9%,2018,"Paramount PicturesSee full company information

","$10,202,108","November 7, 2018
            (EMEA, APAC)",R,1 hr 50 min,"Action
    
        Adventure
    
        Horror
    
        Mystery
    
        Sci-Fi
    
        War","See more details at IMDbPro

","$38,000,000"
114,115,The Great Battle,"$41,509,280","$472,166",1.1%,"$41,037,114",98.9%,2018,"Well Go USA EntertainmentSee full company information

","$123,983","September 19, 2018
            (South Korea)",,2 hr 16 min,"Action
    
        Drama
    
        History
    
        War","See more details at IMDbPro

",
115,116,The Darkest Minds,"$41,142,379","$12,695,691",30.9%,"$28,446,688",69.1%,2018,"Twentieth Century FoxSee full company information

","$5,842,609","August 1, 2018
            (3 markets)",PG-13,1 hr 44 min,"Action
    
        Adventure
    
        Drama
    
        Romance
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

","$34,000,000"
116,117,Holmes & Watson,"$40,466,970","$30,573,626",75.6%,"$9,893,344",24.4%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$7,411,522","December 20, 2018
            (New Zealand)",PG-13,1 hr 30 min,"Comedy
    
        Crime
    
        Mystery","See more details at IMDbPro

","$42,000,000"
117,118,Show Dogs,"$39,156,854","$17,857,020",45.6%,"$21,299,834",54.4%,2018,Global Road Entertainment,"$6,023,972","May 10, 2018
            (EMEA)",PG,1 hr 32 min,"Adventure
    
        Comedy
    
        Family","See more details at IMDbPro

",
118,119,Believer,"$39,047,153","$365,639",0.9%,"$38,681,514",99.1%,2018,"Well Go USA EntertainmentSee full company information

","$146,630","May 22, 2018
            (South Korea)",,2 hr 3 min,"Action
    
        Crime
    
        Thriller","See more details at IMDbPro

",
119,120,The Spy Gone North,"$38,844,509","$500,803",1.3%,"$38,343,706",98.7%,2018,"CJ EntertainmentSee full company information

","$43,348","August 8, 2018
            (South Korea)",,2 hr 17 min,"Drama
    
        Thriller","See more details at IMDbPro

",
120,121,On the Basis of Sex,"$38,673,750","$24,622,687",63.7%,"$14,051,063",36.3%,2018,"Focus FeaturesSee full company information

","$686,355","December 25, 2018
            (Domestic)",PG-13,2 hr,"Biography
    
        Drama","See more details at IMDbPro

",
121,122,Till The End Of The World,"$37,013,733","$118,660",0.3%,"$36,895,073",99.7%,2018,"China Lion Film DistributionSee full company information

","$57,713","February 1, 2018
            (APAC)",,1 hr 57 min,"Adventure
    
        Drama","See more details at IMDbPro

",
122,123,2.0,"$36,945,969","$4,152,000",11.2%,"$32,793,969",88.8%,2018,,"$2,775,000","November 29, 2018
            (EMEA, APAC)",,2 hr 28 min,"Action
    
        Sci-Fi","See more details at IMDbPro

",
123,124,Nothing to Lose,"$36,075,317","$1,016,188",2.8%,"$35,059,129",97.2%,2018,Swen Releasing,"$679,531","March 29, 2018
            (Brazil)",PG,2 hr 14 min,"Biography
    
        Drama","See more details at IMDbPro

",
124,125,Mia and the White Lion,"$35,487,190","$399,471",1.1%,"$35,087,719",98.9%,2018,Ledafilms Entertainment Group,"$192,816","December 26, 2018
            (EMEA)",PG,1 hr 38 min,"Adventure
    
        Drama
    
        Family","See more details at IMDbPro

",
125,126,The Girl in the Spider's Web,"$35,164,920","$14,841,338",42.2%,"$20,323,582",57.8%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$7,810,112","October 25, 2018
            (Netherlands)",R,1 hr 55 min,"Action
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

","$43,000,000"
126,127,The Hate U Give,"$34,934,009","$29,719,483",85.1%,"$5,214,526",14.9%,2018,"Twentieth Century FoxSee full company information

","$512,035","October 5, 2018
            (Domestic)",PG-13,2 hr 13 min,"Crime
    
        Drama","See more details at IMDbPro

","$23,000,000"
127,128,Nobody's Fool,"$33,705,333","$31,713,110",94.1%,"$1,992,223",5.9%,2018,"Paramount PicturesSee full company information

","$13,743,111","October 31, 2018
            (Panama)",R,1 hr 50 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

","$19,000,000"
128,129,Baaghi 2,"$33,139,063","$1,319,579",4%,"$31,819,484",96%,2018,"FIPSee full company information

","$650,722","March 29, 2018
            (APAC, EMEA)",,2 hr 17 min,"Action
    
        Thriller","See more details at IMDbPro

",
129,130,The Hurricane Heist,"$32,517,248","$6,115,825",18.8%,"$26,401,423",81.2%,2018,"Entertainment Studios Motion PicturesSee full company information

","$3,024,399","February 28, 2018
            (France)",PG-13,1 hr 43 min,"Action
    
        Adventure
    
        Crime
    
        Thriller","See more details at IMDbPro

","$35,000,000"
130,131,Bad Times at the El Royale,"$31,882,724","$17,839,115",56%,"$14,043,609",44%,2018,"Twentieth Century FoxSee full company information

","$7,132,647","October 11, 2018
            (APAC, EMEA)",R,2 hr 21 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

","$32,000,000"
131,132,Hunter Killer,"$31,672,678","$15,767,460",49.8%,"$15,905,218",50.2%,2018,"LionsgateSee full company information

","$6,653,777","October 19, 2018
            (United Kingdom)",R,2 hr 1 min,"Action
    
        Thriller","See more details at IMDbPro

","$40,000,000"
132,133,Super Troopers 2,"$31,626,386","$30,617,396",96.8%,"$1,008,990",3.2%,2018,"Twentieth Century FoxSee full company information

","$15,181,624","April 19, 2018
            (APAC)",R,1 hr 40 min,"Comedy
    
        Crime
    
        Mystery","See more details at IMDbPro

","$13,500,000"
133,134,The Strangers: Prey at Night,"$31,039,126","$24,586,708",79.2%,"$6,452,418",20.8%,2018,"Aviron PicturesSee full company information

","$10,402,271","March 7, 2018
            (Belgium)",R,1 hr 25 min,Horror,"See more details at IMDbPro

",
134,135,Free Solo,"$29,318,861","$17,541,090",59.8%,"$11,777,771",40.2%,2018,"National Geographic EntertainmentSee full company information

","$294,288","September 28, 2018
            (Domestic)",PG-13,1 hr 40 min,"Adventure
    
        Documentary
    
        Sport","See more details at IMDbPro

",
135,136,Pad Man,"$29,045,020","$1,670,192",5.8%,"$27,374,828",94.2%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$740,313","February 8, 2018
            (EMEA, APAC)",PG-13,2 hr 20 min,"Comedy
    
        Drama","See more details at IMDbPro

",
136,137,Default,"$27,694,043","$203,775",0.7%,"$27,490,268",99.3%,2018,"CJ EntertainmentSee full company information

","$50,011","November 28, 2018
            (South Korea)",,1 hr 54 min,Drama,"See more details at IMDbPro

",
137,138,One Cut of the Dead,"$27,590,180","$52,406",0.2%,"$27,537,774",99.8%,2018,"Variance FilmsSee full company information

","$6,360","June 23, 2018
            (Japan)",,1 hr 36 min,"Comedy
    
        Horror","See more details at IMDbPro

",
138,139,Mirai,"$27,526,961","$812,794",3%,"$26,714,167",97%,2018,"GKIDSSee full company information

","$63,325","July 20, 2018
            (Japan)",PG,1 hr 38 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Fantasy","See more details at IMDbPro

",
139,140,The Happytime Murders,"$27,506,452","$20,706,452",75.3%,"$6,800,000",24.7%,2018,"STX EntertainmentSee full company information

","$9,532,425","August 23, 2018
            (4 markets)",R,1 hr 31 min,"Action
    
        Comedy
    
        Crime
    
        Fantasy
    
        Mystery
    
        Thriller","See more details at IMDbPro

","$40,000,000"
140,141,Midnight Sun,"$27,365,467","$9,561,064",34.9%,"$17,804,403",65.1%,2018,Global Road Entertainment,"$4,003,993","March 22, 2018
            (APAC, EMEA)",PG-13,1 hr 31 min,"Drama
    
        Romance","See more details at IMDbPro

",
141,142,My Neighbor Totoro 2018 Re-release,"$27,083,857","$1,144,649",4.2%,"$25,939,208",95.8%,2018,,,"August 28, 2002
            (France)",,1 hr 26 min,"Animation
    
        Family
    
        Fantasy","See more details at IMDbPro

",
142,143,Hichki,"$26,055,222","$330,279",1.3%,"$25,724,943",98.7%,2018,"Yash Raj FilmsSee full company information

","$330,279","February 22, 2018
            (Australia)",,1 hr 56 min,"Comedy
    
        Drama","See more details at IMDbPro

",
143,144,White Boy Rick,"$25,957,482","$24,011,188",92.5%,"$1,946,294",7.5%,2018,"Studio 8See full company information

","$8,860,431","September 14, 2018
            (Domestic)",R,1 hr 51 min,"Crime
    
        Drama","See more details at IMDbPro

","$29,000,000"
144,145,"Paul, Apostle of Christ","$25,915,966","$17,560,475",67.8%,"$8,355,491",32.2%,2018,"Affirm FilmsSee full company information

","$5,172,585","March 22, 2018
            (EMEA, APAC)",PG-13,1 hr 48 min,"Adventure
    
        Biography
    
        Drama
    
        History","See more details at IMDbPro

","$5,000,000"
145,146,Keys To The Heart,"$25,375,866","$75,134",0.3%,"$25,300,732",99.7%,2018,"CJ EntertainmentSee full company information

","$9,851","January 17, 2018
            (South Korea)",,2 hr,"Comedy
    
        Drama
    
        Family","See more details at IMDbPro

",
146,147,Stan & Ollie,"$24,420,923","$5,470,235",22.4%,"$18,950,688",77.6%,2018,"Sony Pictures ClassicsSee full company information

","$78,104","December 28, 2018
            (Domestic)",PG,1 hr 38 min,"Biography
    
        Comedy
    
        Drama
    
        Family
    
        History","See more details at IMDbPro

",
147,148,The Accidental Detective 2: In Action,"$24,243,825","$179,045",0.7%,"$24,064,780",99.3%,2018,"CJ EntertainmentSee full company information

","$47,367","June 13, 2018
            (South Korea)",,1 hr 56 min,"Comedy
    
        Crime
    
        Thriller","See more details at IMDbPro

",
148,149,Pokémon the Movie: The Power of Us,"$23,740,788","$789,170",3.3%,"$22,951,618",96.7%,2018,"Fathom EventsSee full company information

","$255,299","July 13, 2018
            (Japan)",,1 hr 40 min,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Fantasy","See more details at IMDbPro

",
149,150,Padmaavat,"$22,991,060","$11,846,060",51.5%,"$11,145,000",48.5%,2018,"Viva PicturesSee full company information

","$4,493,384","January 25, 2018
            (5 markets)",,2 hr 44 min,"Drama
    
        History
    
        Romance
    
        War","See more details at IMDbPro

",
